Project Code,Country,Vendor,Manufacturing Site,Shipment Mode,Product Group,Sub Classification,Brand,Scheduled Delivery Date,Delivered to Client Date,PO Sent to Vendor Date,Weight,Freight Cost,Shipment Value,Insurance,Delivery Delay,Shipping Duration,Delivery Status,Shipment Year,Shipment Month,Shipment Quarter
100-CI-T01,C̫te d'Ivoire,RANBAXY Fine Chemicals LTD.,Ranbaxy Fine Chemicals LTD,Air,HRDT,HIV test,Reveal,2006-06-02,2006-06-02,,13.0,780.34,551.0,,0,,On-Time,2006,June,2006Q2
108-VN-T01,Vietnam,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Pediatric,Generic,2006-11-14,2006-11-14,,358.0,4521.5,6200.0,,0,,On-Time,2006,November,2006Q4
100-CI-T01,C̫te d'Ivoire,Abbott GmbH & Co. KG,ABBVIE GmbH & Co.KG Wiesbaden,Air,HRDT,HIV test,Determine,2006-08-27,2006-08-27,,171.0,1653.78,40000.0,,0,,On-Time,2006,August,2006Q3
108-VN-T01,Vietnam,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Ranbaxy, Paonta Shahib, India",Air,ARV,Adult,Generic,2006-09-01,2006-09-01,,1855.0,16007.06,127360.8,,0,,On-Time,2006,September,2006Q3
108-VN-T01,Vietnam,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2006-08-11,2006-08-11,,7590.0,45450.08,121600.0,,0,,On-Time,2006,August,2006Q3
112-NG-T01,Nigeria,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Pediatric,Generic,2006-09-28,2006-09-28,,504.0,5920.42,2225.6,,0,,On-Time,2006,September,2006Q3
110-ZM-T01,Zambia,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),MSD South Granville Australia,Air,ARV,Pediatric,Stocrin/Sustiva,2007-01-08,2007-01-08,,328.0,,4374.0,,0,,On-Time,2007,January,2007Q1
109-TZ-T01,Tanzania,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2006-11-24,2006-11-24,,1478.0,6212.41,60834.55,,0,,On-Time,2006,November,2006Q4
112-NG-T01,Nigeria,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2006-12-07,2006-12-07,,,,532.35,,0,,On-Time,2006,December,2006Q4
110-ZM-T01,Zambia,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE (Abbott) St. P'burg USA,Air,ARV,Adult,Aluvia,2007-01-30,2007-01-30,2006-11-13,643.0,,115080.0,,0,78.0,On-Time,2007,January,2007Q1
110-ZM-T01,Zambia,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany,Air,ARV,Adult,Aluvia,2007-02-16,2007-02-16,2006-12-01,643.0,,115080.0,,0,77.0,On-Time,2007,February,2007Q1
110-ZM-T01,Zambia,"Trinity Biotech, Plc","Trinity Biotech, Plc",Air,HRDT,HIV test,Uni-Gold,2007-01-08,2007-01-08,,853.0,13569.49,100000.0,,0,,On-Time,2007,January,2007Q1
102-NG-T01,Nigeria,EY Laboratories,"EY Laboratories, USA",Air,HRDT,HIV test,InstantCHEK,2007-01-10,2007-01-10,,,,850.0,,0,,On-Time,2007,January,2007Q1
107-RW-T01,Rwanda,CIPLA LIMITED,"Cipla, Goa, India",Air,ARV,Adult,Generic,2007-02-27,2007-02-27,2006-12-22,7416.0,64179.42,99800.0,,0,67.0,On-Time,2007,February,2007Q1
106-HT-T01,Haiti,Abbott GmbH & Co. KG,ABBVIE GmbH & Co.KG Wiesbaden,Air,HRDT,HIV test,Determine,2007-01-18,2007-01-18,,256.0,1760.32,60000.0,,0,,On-Time,2007,January,2007Q1
113-ZW-T01,Zimbabwe,BRISTOL-MYERS SQUIBB,"BMS Meymac, France",Air,ARV,Pediatric,Videx,2007-03-19,2007-03-19,2007-01-10,,,14764.5,,0,68.0,On-Time,2007,March,2007Q1
102-NG-T01,Nigeria,ACCOUN NIGERIA LIMITED,ABBVIE GmbH & Co.KG Wiesbaden,,HRDT,HIV test,Determine,2007-05-07,2007-05-07,,,,120000.0,192.0,0,,On-Time,2007,May,2007Q2
107-RW-T01,Rwanda,Premier Medical Corporation Ltd.,Premier Med. Corp Ltd. India,Air,HRDT,HIV test,First Response,2007-03-29,2007-03-29,,710.0,3120.7,33000.0,,0,,On-Time,2007,March,2007Q1
109-TZ-T01,Tanzania,BRISTOL-MYERS SQUIBB,"BMS Meymac, France",Air,ARV,Pediatric,Videx,2007-06-06,2007-06-06,2007-04-12,162.0,912.96,8964.08,,0,55.0,On-Time,2007,June,2007Q2
102-NG-T01,Nigeria,Abbott GmbH & Co. KG,ABBVIE GmbH & Co.KG Wiesbaden,Air,HRDT,HIV test,Determine,2007-06-19,2007-06-19,2007-05-13,341.0,2682.47,80000.0,128.0,0,37.0,On-Time,2007,June,2007Q2
102-NG-T01,Nigeria,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Chembio Diagnostics Sys. Inc.,Air,HRDT,HIV test,Stat-Pak,2007-06-19,2007-06-19,2007-05-17,2278.0,15893.71,202500.0,,0,33.0,On-Time,2007,June,2007Q2
104-CI-T01,C̫te d'Ivoire,BRISTOL-MYERS SQUIBB,"BMS Meymac, France",Air,ARV,Pediatric,Videx,2007-10-02,2007-10-02,2007-07-13,2126.0,,140581.5,224.93,0,81.0,On-Time,2007,October,2007Q4
108-VN-T01,Vietnam,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Pediatric,Generic,2007-10-15,2007-10-15,2007-07-04,941.0,4193.49,1920.0,3.07,0,103.0,On-Time,2007,October,2007Q4
108-VN-T01,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany,Air,ARV,Adult,Aluvia,2007-08-27,2007-08-27,2007-07-04,117.0,1767.38,41095.0,65.75,0,54.0,On-Time,2007,August,2007Q3
100-HT-T01,Haiti,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test,Determine,2007-08-13,2007-08-21,2007-07-26,171.0,3518.38,53992.5,86.39,8,26.0,Delayed,2007,August,2007Q3
100-HT-T01,Haiti,Orasure Technologies Inc.,"Pacific Biotech, Thailand",Air,HRDT,HIV test,OraQuick,2007-08-25,2007-08-25,2007-07-26,60.0,3097.85,8750.0,14.0,0,30.0,On-Time,2007,August,2007Q3
109-TZ-T01,Tanzania,"Standard Diagnostics, Inc.","Standard Diagnostics, Korea",Air,HRDT,HIV test,Bioline,2007-10-16,2007-10-16,,3335.0,27869.74,200000.0,320.0,0,,On-Time,2007,October,2007Q4
109-TZ-T01,Tanzania,"Standard Diagnostics, Inc.","Standard Diagnostics, Korea",Air,HRDT,HIV test,Bioline,2007-11-22,2007-11-22,,3335.0,28461.1,200000.0,320.0,0,,On-Time,2007,November,2007Q4
109-TZ-T01,Tanzania,"Standard Diagnostics, Inc.","Standard Diagnostics, Korea",Air,HRDT,HIV test,Bioline,2007-11-22,2007-11-22,,3335.0,28359.8,200000.0,320.0,0,,On-Time,2007,November,2007Q4
117-ET-T01,Ethiopia,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2007-11-20,2007-11-20,2007-10-03,4228.0,12237.61,99200.0,158.72,0,48.0,On-Time,2007,November,2007Q4
102-NG-T01,Nigeria,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Chembio Diagnostics Sys. Inc.,Air,HRDT,HIV test,Stat-Pak,2007-10-03,2007-10-03,2007-08-28,3263.0,20885.78,270000.0,432.0,0,36.0,On-Time,2007,October,2007Q4
116-ZA-T01,South Africa,"JSI R&T INSTITUTE, INC.",GSK Mississauga (Canada),,ARV,Pediatric,Retrovir,2008-01-29,2008-01-29,2007-11-12,,,317.6,0.51,0,78.0,On-Time,2008,January,2008Q1
108-VN-T01,Vietnam,"GILEAD SCIENCES IRELAND, INC.",Gilead(Nycomed) Oranienburg DE,Air,ARV,Adult,Viread,2008-01-21,2008-01-21,2007-11-19,76.0,2282.57,17000.0,27.2,0,63.0,On-Time,2008,January,2008Q1
108-VN-T01,Vietnam,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Ranbaxy, Paonta Shahib, India",Air,ARV,Adult,Generic,2008-01-21,2008-01-21,2007-11-21,23.0,2149.05,3352.0,5.36,0,61.0,On-Time,2008,January,2008Q1
107-RW-T01,Rwanda,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test - Ancillary,Generic,2008-01-31,2008-01-31,2007-12-10,99.0,0.75,15.0,0.02,0,52.0,On-Time,2008,January,2008Q1
123-NG-T01,Nigeria,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test - Ancillary,Generic,2008-02-05,2008-02-05,,,,6.5,0.01,0,,On-Time,2008,February,2008Q1
116-ZA-T01,South Africa,"JSI R&T INSTITUTE, INC.","BMS Meymac, France",,ARV,Pediatric,Zerit,2008-01-21,2008-01-04,2008-01-04,,,340.0,0.54,-17,0.0,On-Time,2008,January,2008Q1
125-HT-T01,Haiti,"Trinity Biotech, Plc","Trinity Biotech, Plc",Air,HRDT,HIV test,Capillus,2008-02-18,2008-02-18,,,,278.0,0.44,0,,On-Time,2008,February,2008Q1
104-CI-T01,C̫te d'Ivoire,BIO-RAD LABORATORIES (FRANCE),Bio-Rad Laboratories,Air,HRDT,HIV test,Genie,2008-06-17,2008-06-17,2008-02-27,509.0,5446.51,36176.0,57.88,0,111.0,On-Time,2008,June,2008Q2
104-CI-T01,C̫te d'Ivoire,"Standard Diagnostics, Inc.","Standard Diagnostics, Korea",Air,HRDT,HIV test,Bioline,2009-03-19,2009-03-19,2008-03-03,206.0,2656.12,13180.0,25.83,0,381.0,On-Time,2009,March,2009Q1
